Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
3,, -   ,2013,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Material eléctrico y electrónico,"Apoyo a la creación, desarrollo y /o consolidación de micro; pequeñas y medianas empresas mediante esquemas o recursos dirigidos a incrementar su productividad y competitividad",Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Instituto Nacional de la Economía Social,"Micro, pequeñas y medianas empresas productivas y competitivas",Yucatán,"Planeación, seguimiento y evaluación de políticas públicas", 513.9 ,, 513.9 ,31.0,3.0,1.0,1,,P,,24601.0,,8.0,10,1,1.0,D00
16,, -   ,2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Pasajes terrestres nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Excarcelación de Presos Indígenas,Hacienda y Crédito Público,Indígenas,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Promoción y coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas,Jalisco,Otros Subsidios, 500.0 ,, 500.0 ,14.0,2.0,1.0,6,,U,,37204.0,,9.0,6,7,7.0,AYB
8,0.00,"1,370.00",2015,0,,Recursos fiscales,Turismo,Desarrollo Económico,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos",Desarrollo e innovación de productos turísticos sustentables,Turismo,Turismo,Gasto corriente,Dirección General de Innovación del Producto Turístico,"Desarrollo de destinos turísticos diversificados, sustentables y competitivos",Distrito Federal,Promoción y fomento,0.00,0.00,,9.0,,1.0,7,3.0,F,0.00,33603.0,0.00,4.0,21,1,1.0,211
3,0.00,"400,000.00",2015,0,,Recursos fiscales,Transporte,Desarrollo Económico,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,"Supervisión, regulación, inspección, verificación y servicios administrativos de construcción y conservación de carreteras",Comunicaciones y Transportes,Transporte por Carretera,Gasto corriente,Dirección General de Carreteras,"Carreteras eficientes, seguras y suficientes",Distrito Federal,Regulación y supervisión,"174,913.37","174,913.37",,9.0,,1.0,5,3.0,G,"174,913.37",37504.0,"174,913.37",3.0,9,1,1.0,210
10,0.00,"78,400.00",2015,45905,,Recursos fiscales,Transporte,Desarrollo Económico,Servicios de supervisión de obras,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Zacatecas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Zacatecas,Proyectos de Inversión,0.00,0.00,,32.0,,1.0,5,3.0,K,0.00,62903.0,0.00,31.0,9,1,3.0,652
8,0.00,"12,000.00",2015,0,,Recursos fiscales,Transporte,Desarrollo Económico,Servicios de vigilancia,Regulación y supervisión del programa de protección y medicina preventiva en transporte multimodal,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Tabasco,Regulación eficiente de las comunicaciones y los transportes,Tabasco,Regulación y supervisión,"10,920.00","10,920.00",,27.0,,1.0,5,3.0,G,"10,920.00",33801.0,"10,920.00",1.0,9,6,1.0,647
3,,2000.0,2011,,Gobierno,Recursos fiscales,Hacienda,,Cemento y productos de concreto,Modernización y simplificación de los procesos tributario y de comercio exterior,Hacienda y Crédito Público,Ingresos,Gasto corriente,Servicio de Administración Tributaria,Política de ingresos equitativa y promotora de la competitividad,,Prestación de Servicios Públicos,,,0.0,,1.0,1.0,3,,E,,24201.0,,27.0,6,1,1.0,E00
4,,1094570.0,2011,,Gobierno,Recursos fiscales,"Orden, Seguridad y Justicia",,Otros materiales y artículos de construcción y reparación,Investigar y perseguir los delitos relativos a la Delincuencia Organizada,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Servicios Aéreos,Investigación del delito federal,,Prestación de Servicios Públicos,,,38056.0,,1.0,1.0,6,,E,,24901.0,,3.0,17,3,1.0,815
7,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,"Patentes, regalías y otros",Verificación y vigilancia de los derechos del consumidor plasmados en la LFPC,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Procuraduría Federal del Consumidor,Equidad en las relaciones de consumo,Tabasco,Regulación y supervisión,,," 16,910 ",27.0,3.0,1.0,1,,G,,32701.0,,3.0,10,1,1.0,LAT
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Pasajes aéreos nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Coahuila,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,, -   ,5.0,1.0,1.0,3,,M,,37104.0,,1.0,22,6,1.0,300
9, -   , -   ,2014, 0 ,,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Subsidios a la producción,Programa de vivienda digna,"Desarrollo Agrario, Territorial y Urbano",Vivienda,Gasto corriente,Fideicomiso Fondo Nacional de Habitaciones Populares,Apoyo a la vivienda social, Nayarit ,Sujetos a Reglas de Operación," 105,759,088 "," 105,759,088 ",,18.0,,1.0,2,2.0,S," 105,759,088 ",43101.0," 105,759,088 ",58.0,15,5,1.0,QIQ
1, -   ," 3,100 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Mantenimiento y conservación de bienes informáticos,Organización electoral federal,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Coahuila ,Específicos, 406 , 406 ,,5.0,,1.0,3,1.0,R, 406 ,35301.0, 406 ,2.0,22,6,1.0,300
3, -   , -   ,2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,"Programa de Rehabilitación, Modernización, Tecnificación y Equipamiento de Distritos de Riego y Temporal Tecnificado",Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Chiapas ,Sujetos a Reglas de Operación," 8,986 "," 8,986 ",,7.0,,1.0,2,3.0,S," 8,986 ",21401.0," 8,986 ",79.0,16,5,7.0,B00
8,," 132,097,174 ",2012,0,Desarrollo Social,Recursos fiscales,Protección Social,,Subsidios a la producción,Programa de Apoyo Alimentario,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Coordinación Nacional del Programa de Desarrollo Humano Oportunidades,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Puebla,Sujetos a Reglas de Operación,,," 132,097,174 ",21.0,2.0,1.0,6,,S,,43101.0,,118.0,20,8,1.0,G00
15,,0.0,2011,,Desarrollo Social,Recursos fiscales,Salud,,Arrendamiento de equipo y bienes informáticos,Prevención y atención contra las adicciones,Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Comisionado Nacional contra las Adicciones,Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,,Prestación de Servicios Públicos,,,0.0,,2.0,1.0,1,,E,,32301.0,,25.0,12,1,1.0,180
3,, -   ,2012,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Programa para la Construcción y Rehabilitación de Sistemas de Agua Potable y Saneamiento en Zonas Rurales,Medio Ambiente y Recursos Naturales,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Durango,Sujetos a Reglas de Operación,,," 299,804 ",10.0,2.0,1.0,1,,S,,26102.0,,75.0,16,3,7.0,B00
8,," 5,000,000.0 ",2010,,Desarrollo Social,Recursos fiscales,Educación,,Maquinaria y equipo industrial,Otorgamiento y promoción de servicios cinematográficos,Educación Pública,Cultura,Gasto de capital diferente de obra pública,"Estudios Churubusco Azteca, S.A.",Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,," 1,000,000.0 ",,2.0,1.0,0,,E,,5202.0,,22.0,11,6,2.0,L8P
1, -   , -   ,2014, 0 ,,Ingresos Propios,Otros Servicios Generales,Gobierno,Servicio de agua,Producción y difusión de información estadística y geográfica de interés nacional,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica, Guerrero ,"Planeación, seguimiento y evaluación de políticas públicas"," 11,194 "," 11,194 ",,12.0,,4.0,8,1.0,P," 11,194 ",31301.0," 11,194 ",2.0,40,2,1.0,100
3,, -   ,2012,1116B000287,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Mantenimiento y rehabilitación de obras para el abastecimiento de agua, petróleo, gas, electricidad y telecomunicaciones",Estabilización de cuencas y acuíferos.,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Sinaloa,Proyectos de Inversión,,," 15,776,821 ",25.0,3.0,1.0,2,,K,,62302.0,,141.0,16,5,3.0,B00
7,," 10,200.0 ",2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Definición de la normatividad para la política ambiental e identificación y diseño de instrumentos de fomento en apoyo al desarrollo sustentable,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Delegación Federal en México,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,"Planeación, seguimiento y evaluación de políticas públicas",,," 9,016.0 ",,3.0,1.0,9,,P,,3817.0,,2.0,16,2,1.0,135
6, -   , -   ,2014, 0 ,,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Materiales y útiles de oficina,Programa de Opciones Productivas,Desarrollo Social,Desarrollo Regional,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en Jalisco,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural", Jalisco ,Sujetos a Reglas de Operación," 4,199 "," 4,199 ",,14.0,,1.0,2,2.0,S," 4,199 ",21101.0," 4,199 ",54.0,20,7,7.0,134
6, -   , -   ,2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Servicio postal,Programa Nacional para el Control de la Abeja Africana,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Delegación en Nuevo León,Elevar el ingreso de los productores y el empleo rural, Nuevo León ,Otros Subsidios, 333 , 333 ,,19.0,,1.0,2,3.0,U, 333 ,31801.0, 333 ,10.0,8,1,1.0,139
1,," 22,000.0 ",2010,,Gobierno,Recursos fiscales,Administración Pública,,Productos alimenticios para el personal derivado de actividades extraordinarias,Apoyo a la Función Pública y Buen Gobierno,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Función Pública,Gasto corriente,Delegación en Sinaloa,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,," 6,664.0 ",,1.0,1.0,8,,O,,2206.0,,1.0,8,3,1.0,145
3,0.00,"2,880,000.00",2015,0,,Recursos fiscales,Seguridad Nacional,Gobierno,Fletes y maniobras,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",Defensa Nacional,Defensa,Gasto corriente,Comandancia IX Región Militar,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior",Guerrero,Funciones de las Fuerzas Armadas,"3,120,000.00","3,120,000.00",,12.0,,1.0,6,1.0,A,"3,120,000.00",34701.0,"3,120,000.00",2.0,7,1,1.0,128
3,0.00,"22,622.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Materiales y útiles de impresión y reproducción,Conducción de las políticas hídricas,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Yucatán,"Planeación, seguimiento y evaluación de políticas públicas",0.00,0.00,,31.0,,1.0,1,2.0,P,0.00,21201.0,0.00,1.0,16,2,1.0,B00
1,,16457.0,2011,,Gobierno,Recursos fiscales,Administración Pública,,Primas de vacaciones y dominical,Actividades de apoyo a la función pública y buen gobierno,Salud,Función Pública,Gasto corriente,Instituto Nacional de Medicina Genómica,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,16457.0,,1.0,1.0,8,,O,,13201.0,,1.0,12,3,1.0,NCH
1,, -   ,2013,0,Gobierno,Ingresos Propios,Otros Servicios Generales,,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,Producción y difusión de información estadística y geográfica de interés nacional,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica,Michoacán,"Planeación, seguimiento y evaluación de políticas públicas"," 4,195.0 ",," 4,195.0 ",16.0,1.0,4.0,8,,P,,21401.0,,2.0,40,2,1.0,100
8,0.00,"253,024.00",2015,0,,Recursos fiscales,Comunicaciones,Desarrollo Económico,Aportaciones al ISSSTE,Regulación y Supervisión del Sector Telecomunicaciones,Instituto Federal de Telecomunicaciones,Comunicaciones,Gasto corriente,Coordinación General de Planeación Estratégica,Regulación eficiente de las telecomunicaciones,Distrito Federal,Regulación y supervisión,"201,137.38","201,137.38",,9.0,,1.0,6,3.0,G,"201,137.38",14101.0,"201,137.38",4.0,43,1,1.0,210
4,0.00,"4,810,307.00",2015,0,,Recursos fiscales,Relaciones Exteriores,Gobierno,Seguros de bienes patrimoniales,"Promoción y defensa de los intereses de México en el exterior, en los ámbitos bilateral y regional",Relaciones Exteriores,Relaciones Exteriores,Gasto corriente,Subsecretaría de Relaciones Exteriores,Vínculos políticos con el exterior que benefician los intereses nacionales,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas","3,589,747.98","3,589,747.98",,9.0,,1.0,4,1.0,P,"3,589,747.98",34501.0,"3,589,747.98",4.0,5,1,1.0,400
8,," 79,776.0 ",2013,0,Desarrollo Económico,Recursos fiscales,Transporte,,Cuotas para el seguro de separación individualizado,Regulación y supervisión del programa de protección y medicina preventiva en transporte multimodal,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Tamaulipas,Regulación eficiente de las comunicaciones y los transportes,Tamaulipas,Regulación y supervisión," 1,995.5 ",," 1,995.5 ",28.0,3.0,1.0,5,,G,,14404.0,,1.0,9,6,1.0,648
3,," 9,500 ",2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Material de limpieza,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Morelos,"Micro, pequeñas y medianas empresas productivas y competitivas",Morelos,Prestación de Servicios Públicos,,," 12,496 ",17.0,3.0,1.0,1,,E,,21601.0,,9.0,10,1,1.0,137
6, -   , -   ,2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,Fondo para el Apoyo a Proyectos Productivos en Núcleos Agrarios (FAPPA),"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación General de Enlace Sectorial,Elevar el ingreso de los productores y el empleo rural, Distrito Federal ,Sujetos a Reglas de Operación," 81,200 "," 81,200 ",,9.0,,1.0,2,3.0,S," 81,200 ",33604.0," 81,200 ",89.0,8,1,7.0,112
