ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,227.0,,,,2015.0,0,,Sonora,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Servicios básicos,"Distribución de petróleo, gas, petrolíferos y petroquímicos",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Petróleos Mexicanos (Consolidado),"Distribución de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",,Prestación de Servicios Públicos,,,,,26.0,,,,,3.0,4.0,3.0,,,,,E,"$635,899.00",,,3100.0,,,,10.0,,,,47,,,2.0,,,1.0,,,TZZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Asuntos Financieros y Hacendarios,,Seguridad social,"Diseño e instrumentación de las políticas y estrategias en materia de programación, presupuesto, gasto público federal, contabilidad y rendición de cuentas de la gestión del sector público y evaluación del desempeño.",Hacienda y Crédito Público,Asuntos Hacendarios,Gasto corriente,Unidad de Política y Control Presupuestario,Gasto público transparente y orientado a resultados,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,1.0,1.0,5.0,,,,,P,"$8,149,546.00",,,1400.0,,,,2.0,,,,6,,,2.0,,,1.0,,,411,,,,,,,
,,2.0,,,,2008.0,,Servicios de apoyo administrativo,,,Recursos fiscales,"Urbanización,  Vivienda y Desarrollo Regional",Desarrollo Social,Materiales y Artículos de Construcción,Actividades de apoyo administrativo,Hacienda y Crédito Público,Vivienda,Gasto corriente,Comisión Nacional de Vivienda,,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,,,1.0,3.0,,,2.0,M,,0.0,,,2400.0,,,,1.0,,,,6,,,2.0,,,1.0,,,HDB,,,,,,,
"Democracia preservada y fortalecida mediante la organizaci¢n de elecciones federales, el fomento de la participaci¢n ciudadana y la promoci¢n del desarrollo del sistema de partidos",1.0,,0,2100.0,"Materiales de administraci¢n, emisi¢n de documentos y art¡culos oficiales",2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,R,Espec¡ficos,," 1,647,237 ",5.0,Actualizaci¢n del padr¢n electoral y expedici¢n deÿla credencial para votar,,0.0,Instituto Nacional Electoral,Otros,22,6.0,Organizaci¢n de Procesos Electorales,,1.0,Gasto corriente,,300,Juntas Distritales Ejecutivas,,,,,,,,
,,5.0,,,,2008.0,,Instrumentación de la política Laboral,,,Recursos fiscales,Temas Laborales,Desarrollo Económico,Asignaciones adicionales al sueldo,Ejecución  a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Otros,Gasto corriente,Delegación en Zacatecas,,Prestación de servicios públicos,,,,,,,,,,,,1.0,3.0,,,3.0,E,,114359.0,,,1511.0,,,,3.0,,,,14,,,3.0,,,1.0,,,152,,,,,,,
Sistema Nacional de Informaci¢n Estad¡stica y Geogr fica,1.0,,0,1100.0,Remuneraciones al personal de car cter permanente,2016.0,,,,,,,,,,,,,,,,,,,15.0,Estado de Mxico,,1.0,8.0,Recursos fiscales,Otros Servicios Generales,,,,1.0,Gobierno,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 53,890,492 ",2.0,Producci¢n y difusi¢n de informaci¢n estad¡stica y geogr fica,,0.0,Informaci¢n Nacional Estad¡stica y Geogr fica,Otros,40,2.0,Servicios Estad¡sticos,,1.0,Gasto corriente,,100,Instituto Nacional de Estad¡stica y Geograf¡a,,,,,,,,
,,226.0,,,,2015.0,0,,Nuevo León,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Servicios oficiales,"Producción de petróleo, gas, petrolíferos y petroquímicos",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Petróleos Mexicanos (Consolidado),"Producción de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",,Provisión de Bienes Públicos,,,,,19.0,,,,,3.0,4.0,3.0,,,,,B,"$60,000.00",,,3800.0,,,,1.0,,,,47,,,2.0,,,1.0,,,TZZ,,,,,,,
,,3.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,"Combustibles, lubricantes y aditivos",Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Tlaxcala,"Micro, pequeñas y medianas empresas productivas y competitivas",,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,65000.0,,,2600.0,,,,9.0,,,,10,,,1.0,,,1.0,,,149,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,"Urbanización, Vivienda y Desarrollo Regional",Desarrollo Social,Servicios Oficiales,Actividades de apoyo administrativo,Desarrollo Social,Desarrollo Regional,,Consejo Nacional de Evaluación de la Política de Desarrollo Social,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,3.0,,,2.0,M,,311620.0,,,3800.0,,,,1.0,,,,20,,,3.0,,,1.0,,,VQZ,,,,,,,
,,4.0,,,,2015.0,0,,Morelos,Desarrollo Económico,Recursos fiscales,Transporte,,Alimentos y utensilios,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Agua y Puertos,Gasto corriente,Centro SCT Morelos,Puertos eficientes y competitivos,,Regulación y supervisión,,,,,17.0,,,,,3.0,1.0,5.0,,,,,G,"$8,872.00",,,2200.0,,,,2.0,,,,9,,,2.0,,,1.0,,,637,,,,,,,
,,227.0,,,,2015.0,0,,Hidalgo,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Servicios de arrendamiento,"Distribución de petróleo, gas, petrolíferos y petroquímicos",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Petróleos Mexicanos (Consolidado),"Distribución de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",,Prestación de Servicios Públicos,,,,,13.0,,,,,3.0,4.0,3.0,,,,,E,"$21,768.00",,,3200.0,,,,10.0,,,,47,,,2.0,,,1.0,,,TZZ,,,,,,,
,,8.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Servicios de traslado y viaticos,Producción y transmisión de materiales educativos y culturales,Educación Pública,Cultura,Gasto corriente,XE-IPN Canal 11,Fomento y promoción de la cultura,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,4.0,,,,,E,"21,800.00",,,3700.0,,,,13.0,,,,11,,,2.0,,,1.0,,,B01,,,,,,,
,,1.0,,,,2015.0,0,,Tabasco,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Seguridad social,Gestión Administrativa,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,27.0,,,,,1.0,1.0,3.0,,,,,M,"$62,988.00",,,1400.0,,,,1.0,,,,22,,,6.0,,,1.0,,,200,,,,,,,
,,4.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Combustibles y Energía,,Servicios de arrendamiento,Conducción de la política energética,Energía,Otros Combustibles,Gasto corriente,Dirección General de Sustentabilidad,Regulación eficiente del sector energético,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,3.0,,,,,P,"1,833,324.00",,,3200.0,,,,1.0,,,,18,,,4.0,,,1.0,,,211,,,,,,,
,,5.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Servicios de arrendamiento,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en Sonora,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,"1,000.00",,,3200.0,,,,3.0,,,,14,,,2.0,,,1.0,,,146,,,,,,,
,,10.0,,,,2015.0,11096340016,,Jalisco,Desarrollo Económico,Recursos fiscales,Transporte,,"Materiales de administración, emisión de documentos y artículos oficiales",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Jalisco,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,14.0,,,,,3.0,1.0,5.0,,,,,K,"$4,500.00",,,2100.0,,,,31.0,,,,9,,,1.0,,,3.0,,,634,,,,,,,
,,9.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Otras prestaciones sociales y económicas,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Subsecretaría de Desarrollo Rural,"Impulso a la reconversión productiva en materia agrícola, pecuaria y pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,3.0,1.0,2.0,,,,,P,"$637,680.00",,,1500.0,,,,1.0,,,,8,,,1.0,,,1.0,,,400,,,,,,,
,,9.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,"Servicios profesionales, cientificos, tecnicos y otros servicios","Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente,Dirección General de Apoyos para el Desarrollo Rural,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,15157.0,,,3300.0,,,,1.0,,,,8,,,1.0,,,1.0,,,410,,,,,,,
,,6.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Vestuario, blancos, prendas de proteccion y articulos deportivos","Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Comité Nacional para el Desarrollo Sustentable de la Caña de Azúcar,Elevar el ingreso de los productores y el empleo rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,10000.0,,,2700.0,,,,1.0,,,,8,,,1.0,,,1.0,,,AFU,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Servicios de traslado y viáticos,Representación jurídica de la Federación en el ámbito nacional e internacional,Procuraduría General de la República,Procuración de Justicia,Gasto corriente,Dirección General de Cooperación Internacional,Investigación del delito federal,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$521,481.00",,,3700.0,,,,8.0,,,,17,,,2.0,,,1.0,,,214,,,,,,,
,,25.0,,,,2012.0,,,,Desarrollo Social,Recursos fiscales,Salud,,"Materiales de administracion, emision de documentos y articulos oficiales",Prevención y atención de VIH/SIDA y otras ITS,Salud,Rectoría del Sistema de Salud,Gasto corriente,Centro Nacional para la Prevención y el Control del VIH/SIDA,Políticas de calidad implementadas en el Sistema Nacional de Salud,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,3.0,,,,,P,360000.0,,,2100.0,,,,16.0,,,,12,,,4.0,,,1.0,,,K00,,,,,,,
,,1.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Alimentos y utensilios,Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,9.0,,,,,1.0,1.0,3.0,,,,,R,"$3,016,652.00",,,2200.0,,,,3.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.0,,,,2008.0,,Deporte,,,Recursos fiscales,Educación,Desarrollo Social,Transferencias para ayuda extraordinaria,Deporte; Puebla -1a. etapa de Velódromo techado en el municipio de Cuautlancingo- (Adecuaciones determinadas por la Cámara de Diputados),Educación Pública,Deporte,Gasto corriente,Comisión Nacional de Cultura Física y Deporte,,Programas sujetos a reglas de operación,,,,,,,,,,,,1.0,0.0,,,2.0,S,,16000000.0,,,4308.0,,,,863.0,,,,11,,,7.0,,,1.0,,,L6I,,,,,,,
,,18.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Salud,,"Servicios de instalacion, reparacion, mantenimiento y conservacion",Prestación de servicios en los diferentes niveles de atención a la salud,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Centro Regional de Alta Especialidad de Chiapas,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,3.0,,,,,E,"6,744,673.00",,,3500.0,,,,23.0,,,,12,,,2.0,,,1.0,,,M7A,,,,,,,
,,13.0,,,,2015.0,0,,Veracruz,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Servicios básicos,Operación y mantenimiento de las centrales generadoras de energía eléctrica,Energía,Electricidad,Gasto corriente,Comisión Federal de Electricidad,Generación de energía eléctrica,,Prestación de Servicios Públicos,,,,,30.0,,,,,3.0,4.0,3.0,,,,,E,"$215,838.00",,,3100.0,,,,561.0,,,,48,,,5.0,,,1.0,,,TOQ,,,,,,,
,,3.0,,,,2011.0,,,,Desarrollo Social,Recursos fiscales,Agua Potable y Alcantarillado,,Subsidios y subvenciones,Programa para la Construcción y Rehabilitación de Sistemas de Agua Potable y Saneamiento en Zonas Rurales,Medio Ambiente y Recursos Naturales,"Suministro de Agua Potable, Drenaje y Alcantarillado",Gasto de capital diferente de obra pública,Dirección Local Michoacán,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Sujetos a Reglas de Operación,,,,,,,,,,2.0,1.0,4.0,,,,,S,48058236.0,,,4300.0,,,,75.0,,,,16,,,1.0,,,2.0,,,B51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.0,,,,2009.0,,Servicio de Migración,,,,Gobernación,Gobierno,Impuesto sobre nóminas,"Servicios migratorios en fronteras, puertos y aeropuertos",Gobernación,Población,,Instituto Nacional de Migración,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,4.0,,,1.0,E,,17263012.0,,,3418.0,,,,8.0,,,,4,,,4.0,,,1.0,,,K00,,,,,,,
,,2.0,,,,2008.0,,Servicios de apoyo administrativo,,,Recursos fiscales,Relaciones Exteriores,Gobierno,Aportaciones al seguro de cesantía en edad avanzada y vejez,Actividades de apoyo administrativo,Relaciones Exteriores,Relaciones Exteriores,Gasto corriente,Dirección General de Asuntos Jurídicos,,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,,,1.0,2.0,,,1.0,M,,325236.0,,,1414.0,,,,1.0,,,,5,,,1.0,,,1.0,,,616,,,,,,,
"Carreteras eficientes, seguras y suficientes",3.0,,0,1300.0,Remuneraciones adicionales y especiales,2016.0,,,,,,,,,,,,,,,,,,,7.0,Chiapas,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 1,994,227 ",3.0,"Supervisi¢n, regulaci¢n, inspecci¢n,ÿverificaci¢n y servicios administrativosÿde construcci¢n y conservaci¢n de carreteras",,0.0,Comunicaciones y Transportes,Otros,9,1.0,Transporte por Carretera,,1.0,Gasto corriente,,627,Centro SCT Chiapas,,,,,,,,
Pago de Pensiones y Jubilaciones a la poblaci¢n derechohabiente del ISSSTE,9.0,,0,1100.0,Remuneraciones al personal de car cter permanente,2016.0,,,,,,,,,,,,,,,,,,,27.0,Tabasco,,1.0,6.0,Recursos fiscales,Protecci¢n Social,,,,2.0,Desarrollo Social,,,,,J,Pensiones y jubilaciones,," 269,995 ",26.0,Pensiones y Jubilaciones,,0.0,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros,51,2.0,Edad Avanzada,,1.0,Gasto corriente,,GYN,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,Combustibles y Energía,,"Servicios profesionales, científicos, técnicos y otros servicios","Regulación y supervisión del otorgamiento de permisos y la administración de estos, en materia de electricidad, gas natural y gas licuado de petróleo",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Comisión Reguladora de Energía,Regulación eficiente del sector energético,,Regulación y supervisión,,,,,9.0,,,,,3.0,1.0,3.0,,,,,G, $-   ,,,3300.0,,,,2.0,,,,18,,,2.0,,,1.0,,,C00,,,,,,,
Servicios de apoyo administrativo,2.0,,0,2600.0,"Combustibles, lubricantes y aditivos",2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,5.0,Recursos fiscales,Asuntos Financieros y Hacendarios,,,,1.0,Gobierno,,,,,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,," 959,602 ",1.0,Actividades de apoyo administrativo,,0.0,Hacienda y Crdito P£blico,Otros,6,2.0,Asuntos Hacendarios,,1.0,Gasto corriente,,711,Direcci¢n General de Recursos Humanos,,,,,,,,
Prevenci¢n y eliminaci¢n de pr cticas y concentraciones monop¢licas y dem s restricciones a la competencia y libre concurrencia.,3.0,,0,5100.0,Mobiliario y equipo de administraci¢n,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,1.0,Recursos fiscales,"Asuntos Econ¢micos, Comerciales y Laborales en General",,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 194,260 ",6.0,Prevenci¢n y eliminaci¢n de pr cticas y concentraciones monop¢licas y dem s restricciones a la competencia y libre concurrencia,,0.0,Comisi¢n Federal de Competencia Econ¢mica,Otros,41,1.0,Asuntos Econ¢micos y Comerciales en General,,2.0,Gasto de capital diferente de obra p£blica,,200,Pleno de la Comisi¢n Federal de Competencia Econ¢mica,,,,,,,,
,,4.0,,,,2015.0,0,,Sonora,Desarrollo Social,Recursos fiscales,Salud,,Otras prestaciones sociales y económicas,Hospitalización General,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica curativa,,Prestación de Servicios Públicos,,,,,26.0,,,,,2.0,1.0,3.0,,,,,E,"$1,090,813.00",,,1500.0,,,,11.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,4.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Vestuario, blancos, prendas de proteccion y articulos deportivos",Implementación de políticas enfocadas al medio agrario,Reforma Agraria,Agropecuaria,Gasto corriente,Subsecretaría de Política Sectorial,Ordenamiento y regularización de la propiedad rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,301408.0,,,2700.0,,,,1.0,,,,15,,,1.0,,,1.0,,,300,,,,,,,
,,8.0,,,,2013.0,,,,Desarrollo Social,Recursos fiscales,Protección Social,,Otros servicios generales,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en Michoacán,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,6.0,,,,,P,89000.0,,,3900.0,,,,2.0,,,,20,,,8.0,,,1.0,,,136,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,,,,2009.0,,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",,,,Gobernación,Gobierno,Asignaciones adicionales al sueldo,"Conducción de la política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",Gobernación,Política Interior,,Unidad de Gobierno,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,4.0,,,1.0,P,,1431444.0,,,1511.0,,,,1.0,,,,4,,,2.0,,,1.0,,,211,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Hacienda,Gobierno,Servicios Básicos,Actividades de apoyo administrativo,Hacienda y Crédito Público,Asuntos Hacendarios,,Coordinación General de Tecnologías de Información y Comunicaciones,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,3.0,,,1.0,M,,4323679.0,,,3100.0,,,,1.0,,,,6,,,3.0,,,1.0,,,115,,,,,,,
,,10.0,,,,2013.0,,,,Desarrollo Social,Recursos fiscales,Educación,,"Productos quimicos, farmaceuticos y de laboratorio",Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Subsecretaría de Educación Media Superior,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,5.0,,,,,P,17783.0,,,2500.0,,,,1.0,,,,11,,,6.0,,,1.0,,,600,,,,,,,
